City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Snowfall Last Hour,Rainfall Last Hour
251,Altamira,BR,-3.2,-52.21,76.57,84,75,1.23,broken clouds,0,0.0
252,Vila Franca Do Campo,PT,37.72,-25.43,68.0,72,75,4.7,broken clouds,0,0.0
253,Liverpool,GB,53.41,-2.98,60.8,63,20,8.05,few clouds,0,0.0
254,Kulykivka,UA,51.37,31.65,56.68,91,100,14.74,light rain,0,0.62
255,Flin Flon,CA,54.77,-101.86,75.2,60,90,13.87,overcast clouds,0,0.0
256,Faya,SA,18.39,42.45,73.4,53,20,9.17,few clouds,0,0.0
257,Lompoc,US,34.64,-120.46,75.0,60,0,16.11,clear sky,0,0.0
258,Tiksi,RU,71.69,128.87,64.15,52,74,8.46,broken clouds,0,0.0
259,Shubarkuduk,KZ,49.14,56.49,81.63,46,89,8.21,overcast clouds,0,0.0
260,Hambantota,LK,6.12,81.12,80.56,81,97,15.61,overcast clouds,0,0.0
261,Sisimiut,GL,66.94,-53.67,51.08,62,81,11.99,broken clouds,0,0.0
262,Trairi,BR,-3.28,-39.27,76.05,83,54,11.07,light rain,0,0.41
263,Mineiros,BR,-17.57,-52.55,70.18,53,76,3.83,broken clouds,0,0.0
264,Puertollano,ES,38.69,-4.11,75.0,66,10,1.99,clear sky,0,0.0
265,Merauke,ID,-8.47,140.33,79.09,80,76,15.41,broken clouds,0,0.0
266,Rocha,UY,-34.48,-54.33,41.63,67,59,8.21,broken clouds,0,0.0
267,Walvis Bay,NA,-22.96,14.51,55.0,100,0,6.93,clear sky,0,0.0
268,San Quintin,MX,30.48,-115.95,79.32,50,4,15.39,clear sky,0,0.0
269,Obo,CF,5.4,26.49,67.64,94,100,1.88,overcast clouds,0,0.0
270,Shelton,US,41.32,-73.09,84.2,54,1,10.29,clear sky,0,0.0
271,Lermontovka,RU,47.15,134.34,74.3,74,13,3.71,few clouds,0,0.0
272,Virginia Beach,US,36.85,-75.98,91.99,36,40,10.29,scattered clouds,0,0.0
273,Lebu,CL,-37.62,-73.65,48.36,90,100,8.9,overcast clouds,0,0.0
274,Arrifes,PT,37.77,-25.7,68.0,72,75,4.7,broken clouds,0,0.0
275,Ginir,ET,7.13,40.7,57.85,87,23,10.36,few clouds,0,0.0
276,Villahermosa,MX,17.98,-92.92,93.2,49,40,13.87,scattered clouds,0,0.0
277,Namatanai,PG,-3.67,152.43,77.76,84,100,4.83,overcast clouds,0,0.0
278,Gat,IL,31.61,34.76,73.99,82,2,3.31,clear sky,0,0.0
279,Marion,US,39.77,-86.16,81.0,57,75,12.75,broken clouds,0,0.0
280,Smithers,CA,54.78,-127.17,64.4,39,75,13.87,broken clouds,0,0.0
281,Otjimbingwe,NA,-22.35,16.13,49.75,48,0,3.85,clear sky,0,0.0
282,Paamiut,GL,61.99,-49.67,44.55,82,100,9.93,light rain,0,0.13
283,Jumla,NP,29.27,82.18,57.58,68,40,2.26,scattered clouds,0,0.0
284,Sinnamary,GF,5.38,-52.95,77.94,89,50,9.33,light rain,0,0.52
285,Guerrero Negro,MX,27.98,-114.06,81.34,42,0,19.66,clear sky,0,0.0
286,El Colomo,MX,19.05,-104.25,87.8,74,40,13.87,scattered clouds,0,0.0
287,Solok,ID,-0.79,100.66,70.79,88,84,1.07,light rain,0,0.58
288,Totness,SR,5.88,-56.32,78.87,86,98,9.51,light rain,0,0.26
289,Bojnurd,IR,37.47,57.33,69.8,60,90,6.93,overcast clouds,0,0.0
290,Assiniboia,CA,49.63,-105.98,80.6,35,94,10.36,overcast clouds,0,0.0
291,Erdenet,MN,49.03,104.08,60.26,83,38,2.26,scattered clouds,0,0.0
292,Kavieng,PG,-2.57,150.8,83.73,69,99,4.65,overcast clouds,0,0.0
293,Cabedelo,BR,-6.98,-34.83,73.4,88,20,4.7,few clouds,0,0.0
294,Ampanihy,MG,-24.7,44.75,62.28,85,46,3.8,scattered clouds,0,0.0
295,Tarauaca,BR,-8.16,-70.77,77.72,67,31,0.92,scattered clouds,0,0.0
296,Port Keats,AU,-14.25,129.55,73.72,24,100,15.84,overcast clouds,0,0.0
297,Raduzhnyy,RU,62.1,77.47,56.98,81,30,7.07,scattered clouds,0,0.0
298,Kudahuvadhoo,MV,2.67,72.89,83.98,70,79,6.69,broken clouds,0,0.0
299,Shar,KZ,49.59,81.05,66.52,57,17,3.31,few clouds,0,0.0
300,Komsomolskiy,UZ,40.43,71.72,73.4,53,97,4.7,overcast clouds,0,0.0
301,Falmouth,GB,50.15,-5.07,59.0,81,2,6.93,clear sky,0,0.0
302,Kanigoro,ID,-8.13,112.22,73.94,82,84,2.64,broken clouds,0,0.0
303,Kaitangata,NZ,-46.28,169.85,46.0,68,3,8.01,clear sky,0,0.0
304,Simao,CN,22.79,100.97,65.77,96,100,3.89,heavy intensity rain,0,5.47
305,Grand Gaube,MU,-20.01,57.66,71.01,76,5,8.99,clear sky,0,0.0
306,Pascagoula,US,30.37,-88.56,93.2,59,1,4.7,clear sky,0,0.0
307,Kununurra,AU,-15.77,128.73,68.0,24,95,9.17,overcast clouds,0,0.0
308,Haines Junction,CA,60.75,-137.51,63.32,41,78,11.32,broken clouds,0,0.0
309,Saldanha,ZA,-33.01,17.94,59.0,82,65,28.86,moderate rain,0,2.15
310,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,60.8,82,75,4.47,broken clouds,0,0.0
311,Poum,NC,-20.23,164.02,73.81,75,0,8.9,clear sky,0,0.0
312,Mae Hong Son,TH,19.3,97.97,73.96,88,100,1.19,moderate rain,0,2.73
313,Raga,SS,8.46,25.68,69.48,95,96,3.33,overcast clouds,0,0.0
314,Do Gonbadan,IR,30.36,50.8,89.6,21,0,5.32,clear sky,0,0.0
315,Hasaki,JP,35.73,140.83,70.0,93,75,8.05,light intensity shower rain,0,0.0
316,Alofi,NU,-19.06,-169.92,77.0,78,74,21.92,broken clouds,0,0.0
317,Reserva,BR,-24.65,-50.85,57.6,93,10,1.41,clear sky,0,0.0
318,Cedar City,US,37.68,-113.06,98.6,9,1,21.92,clear sky,0,0.0
319,Maniitsoq,GL,65.42,-52.9,46.04,78,100,15.3,overcast clouds,0,0.0
320,Livingston,GB,55.9,-3.52,59.0,77,75,9.17,broken clouds,0,0.0
321,Wejherowo,PL,54.61,18.24,57.0,82,20,9.17,few clouds,0,0.0
322,Winnemucca,US,40.97,-117.74,96.8,4,1,14.99,clear sky,0,0.0
323,Safranbolu,TR,41.25,32.69,60.76,86,5,1.36,clear sky,0,0.0
324,Fortuna,US,40.6,-124.16,71.6,56,20,18.34,few clouds,0,0.0
